Trace1,
Freq,,Amp,,
             4021642,Hz,              -69.96, dBm,
             4103308,Hz,              -78.13, dBm,
             4184974,Hz,              -73.01, dBm,
             4266640,Hz,              -70.06, dBm,
             4348306,Hz,              -75.36, dBm,
             4429972,Hz,              -74.24, dBm,
             4511638,Hz,              -72.76, dBm,
             4593304,Hz,              -78.66, dBm,
             4674970,Hz,              -68.69, dBm,
             4756636,Hz,              -70.44, dBm,
             4838302,Hz,              -72.56, dBm,
             4919968,Hz,              -79.02, dBm,
             5001634,Hz,              -70.89, dBm,
             5083300,Hz,              -72.86, dBm,
             5164966,Hz,              -73.80, dBm,
             5246632,Hz,              -74.62, dBm,
             5328298,Hz,              -78.03, dBm,
             5409964,Hz,              -70.38, dBm,
             5491630,Hz,              -76.86, dBm,
             5573296,Hz,              -74.70, dBm,
             5654962,Hz,              -74.79, dBm,
             5736628,Hz,              -71.61, dBm,
             5818294,Hz,              -72.30, dBm,
             5899960,Hz,              -74.47, dBm,
             5981626,Hz,              -73.30, dBm,
             6063292,Hz,              -72.80, dBm,
             6144958,Hz,              -73.35, dBm,
             6226624,Hz,              -74.53, dBm,
             6308290,Hz,              -69.97, dBm,
             6389956,Hz,              -71.97, dBm,
             6471622,Hz,              -72.42, dBm,
             6553288,Hz,              -71.51, dBm,
             6634954,Hz,              -70.22, dBm,
             6716620,Hz,              -73.33, dBm,
             6798286,Hz,              -77.59, dBm,
             6879952,Hz,              -70.20, dBm,
             6961618,Hz,              -68.37, dBm,
             7043284,Hz,              -72.41, dBm,
             7124950,Hz,              -73.75, dBm,
             7206616,Hz,              -79.24, dBm,
             7288282,Hz,              -72.63, dBm,
             7369948,Hz,              -71.17, dBm,
             7451614,Hz,              -78.32, dBm,
             7533280,Hz,              -79.62, dBm,
             7614946,Hz,              -71.00, dBm,
             7696612,Hz,              -76.71, dBm,
             7778278,Hz,              -71.19, dBm,
             7859944,Hz,              -76.36, dBm,
             7941610,Hz,              -72.19, dBm,
             8023276,Hz,              -72.13, dBm,
             8104942,Hz,              -67.75, dBm,
             8186608,Hz,              -73.23, dBm,
             8268274,Hz,              -75.44, dBm,
             8349940,Hz,              -72.91, dBm,
             8431606,Hz,              -71.43, dBm,
             8513272,Hz,              -76.84, dBm,
             8594938,Hz,              -73.91, dBm,
