Trace1,
Freq,,Amp,,
           157878018,Hz,              -76.34, dBm,
           158209684,Hz,              -76.51, dBm,
           158541350,Hz,              -76.28, dBm,
           158873016,Hz,              -76.23, dBm,
           159204682,Hz,              -76.21, dBm,
           159536348,Hz,              -76.38, dBm,
           159868014,Hz,              -76.09, dBm,
           160199680,Hz,              -76.69, dBm,
           160531346,Hz,              -76.20, dBm,
           160863012,Hz,              -76.25, dBm,
           161194678,Hz,              -76.07, dBm,
           161526344,Hz,              -76.34, dBm,
           161858010,Hz,              -76.67, dBm,
           162189676,Hz,              -76.32, dBm,
           162521342,Hz,              -76.10, dBm,
           162853008,Hz,              -76.06, dBm,
           163184674,Hz,              -76.36, dBm,
           163516340,Hz,              -76.38, dBm,
           163848006,Hz,              -76.36, dBm,
           164179672,Hz,              -76.31, dBm,
           164511338,Hz,              -76.38, dBm,
           164843004,Hz,              -76.31, dBm,
           165174670,Hz,              -76.49, dBm,
           165506336,Hz,              -75.96, dBm,
           165838002,Hz,              -76.52, dBm,
           166169668,Hz,              -76.20, dBm,
           166501334,Hz,              -76.19, dBm,
           166833000,Hz,              -76.21, dBm,
           167164666,Hz,              -76.07, dBm,
           167496332,Hz,              -75.92, dBm,
           167827998,Hz,              -76.21, dBm,
           168159664,Hz,              -76.44, dBm,
           168491330,Hz,              -76.04, dBm,
           168822996,Hz,              -76.14, dBm,
           169154662,Hz,              -76.22, dBm,
           169486328,Hz,              -76.14, dBm,
           169817994,Hz,              -76.46, dBm,
           170149660,Hz,              -76.53, dBm,
           170481326,Hz,              -76.62, dBm,
           170812992,Hz,              -76.14, dBm,
           171144658,Hz,              -76.27, dBm,
           171476324,Hz,              -76.38, dBm,
           171807990,Hz,              -76.34, dBm,
           172139656,Hz,              -76.52, dBm,
           172471322,Hz,              -76.11, dBm,
           172802988,Hz,              -76.27, dBm,
           173134654,Hz,              -76.37, dBm,
           173466320,Hz,              -76.68, dBm,
           173797986,Hz,              -76.47, dBm,
           174129652,Hz,              -76.24, dBm,
           174461318,Hz,              -76.47, dBm,
           174792984,Hz,              -76.36, dBm,
           175124650,Hz,              -76.40, dBm,
           175456316,Hz,              -76.27, dBm,
           175787982,Hz,              -76.25, dBm,
           176119648,Hz,              -76.37, dBm,
           176451314,Hz,              -76.01, dBm,
           176782980,Hz,              -76.24, dBm,
           177114646,Hz,              -76.41, dBm,
           177446312,Hz,              -76.57, dBm,
           177777978,Hz,              -76.39, dBm,
           178109644,Hz,              -76.61, dBm,
           178441310,Hz,              -76.60, dBm,
           178772976,Hz,              -76.33, dBm,
           179104642,Hz,              -76.13, dBm,
           179436308,Hz,              -76.07, dBm,
           179767974,Hz,              -76.73, dBm,
           180099640,Hz,              -76.56, dBm,
           180431306,Hz,              -75.99, dBm,
           180762972,Hz,              -76.47, dBm,
           181094638,Hz,              -76.27, dBm,
           181426304,Hz,              -76.14, dBm,
           181757970,Hz,              -75.71, dBm,
           182089636,Hz,              -76.20, dBm,
           182421302,Hz,              -75.98, dBm,
           182752968,Hz,              -75.98, dBm,
           183084634,Hz,              -76.27, dBm,
           183416300,Hz,              -76.35, dBm,
           183747966,Hz,              -76.64, dBm,
           184079632,Hz,              -76.49, dBm,
           184411298,Hz,              -76.44, dBm,
           184742964,Hz,              -76.37, dBm,
           185074630,Hz,              -76.08, dBm,
           185406296,Hz,              -76.23, dBm,
           185737962,Hz,              -75.95, dBm,
           186069628,Hz,              -75.97, dBm,
           186401294,Hz,              -76.14, dBm,
           186732960,Hz,              -76.16, dBm,
           187064626,Hz,              -76.28, dBm,
           187396292,Hz,              -76.02, dBm,
           187727958,Hz,              -76.37, dBm,
           188059624,Hz,              -76.37, dBm,
           188391290,Hz,              -76.15, dBm,
           188722956,Hz,              -76.29, dBm,
           189054622,Hz,              -76.66, dBm,
           189386288,Hz,              -76.33, dBm,
           189717954,Hz,              -76.26, dBm,
           190049620,Hz,              -76.17, dBm,
           190381286,Hz,              -76.02, dBm,
           190712952,Hz,              -76.35, dBm,
           191044618,Hz,              -76.06, dBm,
           191376284,Hz,              -76.19, dBm,
           191707950,Hz,              -76.49, dBm,
           192039616,Hz,              -75.89, dBm,
           192371282,Hz,              -76.21, dBm,
           192702948,Hz,              -76.15, dBm,
           193034614,Hz,              -76.55, dBm,
           193366280,Hz,              -76.56, dBm,
           193697946,Hz,              -76.20, dBm,
           194029612,Hz,              -76.57, dBm,
           194361278,Hz,              -76.17, dBm,
           194692944,Hz,              -75.87, dBm,
           195024610,Hz,              -76.49, dBm,
           195356276,Hz,              -76.36, dBm,
           195687942,Hz,              -76.10, dBm,
           196019608,Hz,              -76.01, dBm,
           196351274,Hz,              -76.13, dBm,
           196682940,Hz,              -76.10, dBm,
           197014606,Hz,              -76.02, dBm,
           197346272,Hz,              -75.78, dBm,
           197677938,Hz,              -76.07, dBm,
           198009604,Hz,              -76.30, dBm,
           198341270,Hz,              -76.08, dBm,
           198672936,Hz,              -75.92, dBm,
           199004602,Hz,              -75.77, dBm,
           199336268,Hz,              -75.83, dBm,
           199667934,Hz,              -76.06, dBm,
           199999600,Hz,              -76.01, dBm,
Trace2,
Freq,,Amp,,
             1000000,Hz,              -21.09, dBm,
             1331666,Hz,              -31.08, dBm,
             1663332,Hz,              -47.37, dBm,
             1994998,Hz,              -64.43, dBm,
             2326664,Hz,              -64.24, dBm,
             2658330,Hz,              -64.02, dBm,
             2989996,Hz,              -64.43, dBm,
             3321662,Hz,              -64.43, dBm,
             3653328,Hz,              -64.43, dBm,
             3984994,Hz,              -64.43, dBm,
             4316660,Hz,              -63.57, dBm,
             4648326,Hz,              -59.22, dBm,
             4979992,Hz,              -61.15, dBm,
             5311658,Hz,              -56.38, dBm,
             5643324,Hz,              -56.22, dBm,
             5974990,Hz,              -56.34, dBm,
             6306656,Hz,              -56.95, dBm,
             6638322,Hz,              -58.72, dBm,
             6969988,Hz,              -57.79, dBm,
             7301654,Hz,              -58.96, dBm,
             7633320,Hz,              -57.91, dBm,
             7964986,Hz,              -58.06, dBm,
             8296652,Hz,              -58.97, dBm,
             8628318,Hz,              -58.87, dBm,
             8959984,Hz,              -59.49, dBm,
             9291650,Hz,              -57.71, dBm,
             9623316,Hz,              -58.53, dBm,
             9954982,Hz,              -58.69, dBm,
            10286648,Hz,              -59.28, dBm,
            10618314,Hz,              -59.01, dBm,
            10949980,Hz,              -57.78, dBm,
            11281646,Hz,              -58.97, dBm,
            11613312,Hz,              -58.64, dBm,
            11944978,Hz,              -61.34, dBm,
            12276644,Hz,              -63.85, dBm,
            12608310,Hz,              -65.06, dBm,
            12939976,Hz,              -66.07, dBm,
            13271642,Hz,              -67.59, dBm,
            13603308,Hz,              -67.91, dBm,
            13934974,Hz,              -67.91, dBm,
            14266640,Hz,              -68.12, dBm,
            14598306,Hz,              -68.31, dBm,
            14929972,Hz,              -67.19, dBm,
            15261638,Hz,              -67.63, dBm,
            15593304,Hz,              -67.22, dBm,
            15924970,Hz,              -68.06, dBm,
            16256636,Hz,              -67.07, dBm,
            16588302,Hz,              -68.80, dBm,
            16919968,Hz,              -68.58, dBm,
            17251634,Hz,              -68.06, dBm,
